string length is 10274
pointed -> 1 times
hearing -> 1 times
norland -> 1 times
produce -> 1 times
wishing. -> 1 times
To -> 2 times
figure -> 1 times
spring -> 1 times
season -> 1 times
up. -> 1 times
provision -> 1 times
acuteness -> 1 times
had -> 4 times
intention. -> 1 times
As -> 5 times
called -> 1 times
needed -> 1 times
at. -> 2 times
Assistance -> 1 times
imprudence -> 1 times
sentiments -> 1 times
unpleasant -> 1 times
expression -> 1 times
surrounded -> 1 times
not. -> 1 times
Be -> 1 times
ye -> 5 times
secure -> 2 times
nearer. -> 1 times
Living -> 1 times
valley -> 1 times
merits -> 1 times
esteem -> 3 times
bed. -> 1 times
last -> 2 times
wise -> 1 times
left. -> 1 times
Visited -> 1 times
civilly -> 1 times
colonel -> 1 times
So -> 2 times
interested -> 1 times
sentiments. -> 1 times
Vanity -> 1 times
giving -> 1 times
points -> 1 times
within -> 2 times
six -> 2 times
not -> 2 times
Few -> 1 times
impression -> 1 times
difficulty -> 2 times
decisively. -> 1 times
allowance -> 2 times
instantly -> 1 times
strangers -> 3 times
applauded -> 4 times
so. -> 3 times
Separate -> 1 times
welcomed -> 1 times
sensible -> 1 times
laughing -> 1 times
moderate -> 2 times
shy. -> 1 times
We -> 1 times
seeing -> 1 times
piqued -> 2 times
merry -> 1 times
least -> 2 times
stood. -> 1 times
And -> 2 times
cold -> 1 times
sons -> 1 times
with. -> 1 times
Delivered -> 1 times
middleton -> 2 times
therefore -> 1 times
Attachment -> 1 times
companions -> 2 times
pianoforte. -> 1 times
Able -> 1 times
hope -> 1 times
body. -> 1 times
Any -> 1 times
shyness -> 2 times
article -> 1 times
matters -> 1 times
own -> 2 times
nothing -> 1 times
forming. -> 1 times
additions -> 2 times
satisfied -> 1 times
perpetual. -> 1 times
If -> 2 times
manor -> 1 times
happy. -> 1 times
Without -> 1 times
farther -> 1 times
exposed -> 1 times
led. -> 2 times
Along -> 1 times
happy -> 1 times
cease -> 1 times
green -> 1 times
oh. -> 2 times
Far -> 2 times
quitting -> 1 times
graceful -> 2 times
received -> 3 times
building. -> 1 times
fact -> 1 times
that -> 2 times
show -> 2 times
shed -> 1 times
sold -> 1 times
cold. -> 1 times
Unaffected -> 2 times
remarkably -> 1 times
introduced -> 1 times
terminated -> 1 times
Result -> 1 times
either -> 1 times
design -> 1 times
and. -> 1 times
ashamed -> 1 times
inhabit -> 1 times
ferrars -> 1 times
besides -> 2 times
resolve. -> 1 times
Own -> 1 times
directly -> 1 times
trifling. -> 1 times
pursuit -> 1 times
regular -> 1 times
parlors. -> 1 times
Rank -> 1 times
what -> 1 times
into -> 1 times
sorry -> 1 times
world -> 1 times
spoil -> 1 times
along. -> 1 times
Incommode -> 1 times
depending -> 3 times
remainder -> 1 times
Edward -> 1 times
almost -> 1 times
active -> 1 times
thirty -> 3 times
piqued. -> 1 times
People -> 1 times
period -> 1 times
twenty -> 1 times
Set -> 2 times
was -> 1 times
abroad -> 1 times
ham -> 1 times
plenty -> 1 times
Admiration -> 1 times
sir -> 2 times
decisively -> 2 times
everything -> 2 times
inhabiting -> 1 times
acceptance. -> 1 times
Sooner -> 1 times
settle -> 1 times
sudden -> 2 times
him. -> 1 times
concluded -> 2 times
extremity. -> 1 times
Want -> 1 times
four -> 2 times
we -> 3 times
face -> 1 times
gate. -> 1 times
played -> 1 times
ladies -> 2 times
answer -> 1 times
little -> 1 times
nature. -> 1 times
Blessing -> 2 times
formerly. -> 1 times
Took -> 1 times
spot -> 1 times
size -> 1 times
you. -> 1 times
Outlived -> 1 times
material. -> 1 times
Him -> 2 times
outweigh -> 2 times
Demesne -> 1 times
far -> 1 times
hearted -> 1 times
suppose -> 1 times
venture -> 1 times
excited -> 1 times
has. -> 2 times
Dependent -> 2 times
Yet -> 1 times
﻿no -> 1 times
jokes -> 1 times
why. -> 1 times
Bed -> 1 times
supposing -> 1 times
fulfilled -> 1 times
questions. -> 1 times
Whatever -> 1 times
exertion -> 1 times
extended. -> 2 times
baobab -> 1 times
believed -> 1 times
diverted -> 1 times
rejoiced. -> 1 times
End -> 1 times
friendship -> 2 times
can -> 4 times
prosperous -> 1 times
met. -> 1 times
game -> 1 times
park -> 1 times
do. -> 1 times
Was -> 1 times
unknown -> 1 times
certain -> 1 times
ten -> 3 times
promise. -> 1 times
No -> 1 times
finished -> 1 times
cheerful -> 1 times
packages -> 1 times
we. -> 3 times
assurance -> 3 times
collected. -> 1 times
Packages -> 1 times
denoting -> 1 times
humoured. -> 1 times
Pressed -> 1 times
natural. -> 1 times
Answer -> 1 times
misery -> 1 times
adieus -> 1 times
wooded -> 1 times
men -> 2 times
before -> 1 times
though. -> 1 times
Pretended -> 1 times
belonging -> 1 times
contented -> 1 times
suffering -> 2 times
favourite -> 2 times
continual. -> 1 times
Mrs -> 1 times
civil -> 1 times
means -> 1 times
tried -> 1 times
drift. -> 1 times
Natural -> 1 times
whether -> 1 times
towards -> 1 times
certain. -> 1 times
Furnished -> 1 times
unfeeling -> 1 times
sometimes -> 2 times
promotion. -> 1 times
Quitting -> 1 times
informed -> 1 times
now. -> 1 times
Projection -> 1 times
conviction -> 2 times
uncommonly -> 1 times
delightful -> 1 times
continuing. -> 1 times
appetite -> 1 times
ecstatic -> 1 times
opinions -> 2 times
hastened -> 2 times
handsome -> 1 times
admitted. -> 1 times
relation -> 1 times
screened -> 2 times
doubtful. -> 1 times
Overcame -> 1 times
insisted -> 1 times
trifling -> 1 times
husbands. -> 1 times
Might -> 1 times
order -> 1 times
found. -> 1 times
impossible -> 2 times
diminution. -> 1 times
Did -> 1 times
carriage -> 1 times
learning -> 1 times
its -> 1 times
replying. -> 1 times
Sister -> 1 times
enable -> 1 times
spirit -> 1 times
really. -> 1 times
Parish -> 1 times
oppose -> 1 times
repair -> 1 times
misery. -> 1 times
Quick -> 2 times
style -> 1 times
after -> 1 times
money -> 2 times
mrs. -> 1 times
Ignorant -> 1 times
drawings -> 1 times
laughter. -> 1 times
Case -> 1 times
away -> 1 times
sigh -> 1 times
here -> 1 times
upon. -> 1 times
Acuteness -> 1 times
exquisite -> 2 times
forfeited. -> 1 times
Enquire -> 1 times
without -> 1 times
garrets -> 1 times
himself. -> 1 times
Interest -> 1 times
our -> 2 times
followed -> 1 times
was. -> 1 times
Cultivated -> 1 times
solicitude -> 1 times
unpleasant. -> 1 times
Oh -> 3 times
acceptance -> 1 times
apartments -> 2 times
astonished -> 3 times
delightful. -> 1 times
Waiting -> 1 times
lasting -> 1 times
towards. -> 1 times
melancholy -> 2 times
unpleasing -> 1 times
attachment -> 1 times
announcing -> 1 times
astonished. -> 1 times
What -> 1 times
leaf -> 1 times
upon -> 1 times
door. -> 1 times
Tended -> 1 times
remain -> 1 times
stairs. -> 1 times
smiling -> 1 times
amiable -> 1 times
visited -> 1 times
offices -> 2 times
hearted. -> 1 times
Breakfast -> 1 times
happiness -> 1 times
frankness. -> 1 times
Met -> 1 times
Entreaties -> 1 times
estimating -> 1 times
cultivated. -> 1 times
additions. -> 1 times
Pronounce -> 1 times
suspected. -> 1 times
elinor -> 1 times
temper. -> 1 times
Quiet -> 1 times
leave -> 2 times
gay -> 2 times
large -> 1 times
Abilities -> 1 times
perfectly -> 1 times
pretended -> 2 times
exquisite. -> 1 times
another -> 1 times
chamber -> 1 times
pleased -> 1 times
imagine -> 2 times
in. -> 2 times
Went -> 1 times
loud -> 1 times
shot -> 1 times
draw. -> 1 times
Excellent -> 1 times
smallness. -> 1 times
Removal -> 1 times
request -> 1 times
delight -> 1 times
themselves. -> 1 times
Offended -> 1 times
consider -> 1 times
speaking. -> 1 times
Questions -> 1 times
too -> 1 times
son. -> 2 times
distant. -> 1 times
Improve -> 1 times
message -> 1 times
himself -> 1 times
cheered -> 1 times
however -> 1 times
judge -> 1 times
first -> 1 times
chief -> 1 times
her. -> 2 times
Indeed -> 1 times
always -> 1 times
seemed -> 1 times
narrow -> 1 times
be. -> 1 times
Instantly -> 1 times
neglected -> 1 times
delivered. -> 1 times
Perhaps -> 1 times
brandon -> 1 times
cottage. -> 1 times
Fulfilled -> 1 times
direction -> 1 times
continual -> 1 times
propriety -> 1 times
continued. -> 1 times
Saw -> 1 times
deficient -> 1 times
engrossed -> 1 times
concealed -> 1 times
Concluded -> 1 times
perpetual -> 1 times
supposing. -> 1 times
Farther -> 1 times
related -> 1 times
comfort -> 1 times
civilly. -> 1 times
Dashwoods -> 1 times
objection -> 1 times
the. -> 2 times
produced -> 1 times
prospect -> 1 times
am. -> 1 times
Placing -> 1 times
forming -> 1 times
looking -> 1 times
married -> 1 times
Margaret -> 1 times
disposed -> 1 times
rendered -> 1 times
striking -> 1 times
confined. -> 1 times
It -> 1 times
furnished -> 1 times
unwilling -> 1 times
peculiar -> 1 times
ham. -> 1 times
Sussex -> 1 times
really -> 1 times
elinor. -> 1 times
properly -> 1 times
Advice -> 1 times
branch -> 1 times
living. -> 1 times
disposing -> 2 times
admitting -> 1 times
sportsmen -> 1 times
sportsman. -> 1 times
Their -> 1 times
widen -> 1 times
any. -> 1 times
smart -> 1 times
those -> 2 times
Am -> 1 times
wrote -> 1 times
whole -> 1 times
tears -> 1 times
Absolute -> 1 times
required -> 1 times
reserved -> 2 times
How -> 1 times
found -> 1 times
again -> 1 times
taken -> 1 times
Had -> 1 times
desirous -> 1 times
overcame. -> 1 times
Improved -> 1 times
property -> 1 times
disposal -> 1 times
me. -> 1 times
over -> 1 times
man. -> 1 times
simple -> 1 times
assure. -> 1 times
Mr -> 1 times
continued -> 1 times
arranging -> 1 times
agreement. -> 1 times
Off -> 1 times
mistress -> 1 times
provided -> 1 times
horrible -> 1 times
opinions. -> 1 times
Prevailed -> 1 times
uncommon -> 1 times
Now, freq = 2: (347) 101011011
indulgence, freq = 2: (414) 110011110
dissimilar, freq = 3: (316) 100111100
for, freq = 3: (317) 100111101
his, freq = 10: (82) 1010010
thoroughly, freq = 1: (693) 1010110101
has, freq = 7: (112) 01110000
terminated., freq = 1: (1384) 10101101000
Agreement, freq = 1: (1385) 10101101001
offending, freq = 2: (415) 110011111
commanded, freq = 1: (850) 1101010010
my, freq = 6: (152) 10011000
an., freq = 1: (851) 1101010011
Change, freq = 1: (848) 1101010000
wholly, freq = 1: (849) 1101010001
say, freq = 5: (159) 10011111
why, freq = 3: (254) 011111110
eldest, freq = 2: (412) 110011100
period., freq = 1: (854) 1101010110
Are, freq = 1: (855) 1101010111
projection, freq = 1: (852) 1101010100
put, freq = 3: (255) 011111111
celebrated, freq = 1: (853) 1101010101
particular, freq = 1: (170) 00010101010
unreserved, freq = 3: (252) 011111100
joy, freq = 4: (214) 011010110
unsatiable, freq = 1: (171) 00010101011
its., freq = 2: (413) 110011101
In, freq = 5: (178) 10110010
then, freq = 1: (168) 00010101000
dare, freq = 3: (253) 011111101
good, freq = 1: (169) 00010101001
am, freq = 7: (113) 01110001
rose, freq = 1: (174) 00010101110
bred, freq = 1: (175) 00010101111
or., freq = 1: (172) 00010101100
On, freq = 4: (215) 011010111
in, freq = 15: (55) 0110111
nearer, freq = 1: (173) 00010101101
square, freq = 1: (162) 00010100010
wanted., freq = 1: (163) 00010100011
Do, freq = 2: (402) 110010010
eduardo4ever, freq = 1: (160) 00010100000
so, freq = 17: (47) 101111
written, freq = 1: (161) 00010100001
as, freq = 10: (83) 1010011
raising, freq = 1: (166) 00010100110
parlors, freq = 1: (167) 00010100111
spirits, freq = 2: (403) 110010011
mr, freq = 8: (99) 1100011
elderly., freq = 1: (164) 00010100100
Made, freq = 1: (165) 00010100101
late, freq = 1: (186) 00010111010
of, freq = 9: (92) 1011100
high, freq = 1: (187) 00010111011
left, freq = 1: (184) 00010111000
hold., freq = 2: (400) 110010000
Carried, freq = 1: (185) 00010111001
females, freq = 2: (401) 110010001
up, freq = 8: (108) 01101100
highest, freq = 1: (190) 00010111110
calling., freq = 2: (406) 110010110
Limits, freq = 1: (191) 00010111111
marked, freq = 1: (188) 00010111100
led, freq = 4: (212) 011010100
silent, freq = 4: (213) 011010101
dining, freq = 1: (189) 00010111101
her, freq = 11: (77) 1001101
she, freq = 8: (109) 01101101
far., freq = 1: (178) 00010110010
Sir, freq = 2: (407) 110010111
but, freq = 6: (153) 10011001
elegance, freq = 1: (179) 00010110011
marriage, freq = 2: (404) 110010100
dwelling, freq = 2: (405) 110010101
likewise, freq = 3: (242) 011110010
position, freq = 2: (394) 0110001010
old, freq = 4: (218) 11011010
pleasure, freq = 2: (395) 0110001011
men., freq = 3: (243) 011110011
Dissimilar, freq = 1: (176) 00010110000
themselves, freq = 1: (177) 00010110001
simplicity, freq = 2: (392) 0110001000
no, freq = 11: (78) 1001110
contrasted, freq = 1: (182) 00010110110
as., freq = 3: (240) 011110000
Delay, freq = 1: (183) 00010110111
great, freq = 1: (180) 00010110100
day, freq = 5: (179) 10110011
hours, freq = 3: (241) 011110001
Stuff, freq = 1: (181) 00010110101
front, freq = 1: (138) 00010001010
to, freq = 13: (57) 0111001
do, freq = 17: (48) 110000
allow, freq = 1: (139) 00010001011
asked, freq = 3: (246) 011110110
he., freq = 4: (219) 11011011
For, freq = 3: (247) 011110111
though, freq = 3: (244) 011110100
result, freq = 4: (216) 11011000
and, freq = 6: (146) 10010010
talent, freq = 1: (136) 00010001000
add, freq = 6: (147) 10010011
are, freq = 3: (245) 011110101
parish, freq = 1: (137) 00010001001
valley., freq = 1: (142) 00010001110
Songs, freq = 1: (143) 00010001111
oh, freq = 6: (144) 10010000
other, freq = 2: (393) 0110001001
avoid, freq = 1: (140) 00010001100
it, freq = 12: (59) 0111011
woman, freq = 1: (141) 00010001101
style., freq = 2: (398) 0110001110
myself, freq = 1: (130) 00010000010
family, freq = 1: (131) 00010000011
if, freq = 5: (176) 10110000
be, freq = 5: (177) 10110001
agreed., freq = 1: (128) 00010000000
Gay, freq = 2: (399) 0110001111
collected, freq = 1: (129) 00010000001
son, freq = 2: (396) 0110001100
him, freq = 10: (80) 1010000
knowledge, freq = 1: (134) 00010000110
delivered, freq = 2: (397) 0110001101
put., freq = 1: (135) 00010000111
Added, freq = 1: (132) 00010000100
would, freq = 1: (133) 00010000101
end, freq = 5: (182) 10110110
ask, freq = 5: (183) 10110111
sight, freq = 1: (154) 00010011010
saw, freq = 5: (180) 10110100
dried, freq = 1: (155) 00010011011
house., freq = 1: (152) 00010011000
Property, freq = 1: (153) 00010011001
expenses, freq = 1: (158) 00010011110
yourself, freq = 3: (266) 100001010
occasion, freq = 1: (159) 00010011111
endeavor, freq = 1: (156) 00010011100
two, freq = 2: (386) 0110000010
may, freq = 3: (267) 100001011
judgment, freq = 2: (387) 0110000011
she., freq = 2: (384) 0110000000
Me, freq = 2: (385) 0110000001
soon, freq = 2: (390) 0110000110
rank, freq = 2: (391) 0110000111
most, freq = 1: (157) 00010011101
head, freq = 1: (146) 00010010010
time, freq = 1: (147) 00010010011
tore., freq = 1: (144) 00010010000
Colonel, freq = 1: (145) 00010010001
or, freq = 10: (81) 1010001
passage, freq = 2: (388) 0110000100
ability., freq = 1: (150) 00010010110
Picture, freq = 1: (151) 00010010111
removal, freq = 2: (389) 0110000101
detract, freq = 1: (148) 00010010100
earnest, freq = 1: (149) 00010010101
is, freq = 5: (181) 10110101
by., freq = 3: (264) 100001000
Esteems, freq = 1: (234) 00011101010
met, freq = 4: (217) 11011001
attempt, freq = 2: (410) 0110011010
way, freq = 2: (411) 0110011011
clothes, freq = 1: (235) 00011101011
yet, freq = 8: (102) 1100110
demesne, freq = 2: (408) 0110011000
tedious., freq = 1: (232) 00011101000
Replying, freq = 1: (233) 00011101001
an, freq = 13: (58) 0111010
marianne, freq = 1: (238) 00011101110
entrance, freq = 3: (265) 100001001
advanced., freq = 1: (239) 00011101111
Two, freq = 1: (236) 00011101100
play, freq = 1: (237) 00011101101
when, freq = 1: (226) 00011100010
Required, freq = 1: (227) 00011100011
bringing, freq = 1: (224) 00011100000
me, freq = 5: (170) 10101010
material, freq = 1: (225) 00011100001
stanhill, freq = 2: (409) 0110011001
jointure, freq = 1: (230) 00011100110
Mutual, freq = 1: (231) 00011100111
indeed, freq = 1: (228) 00011100100
living, freq = 2: (414) 0110011110
matter, freq = 1: (229) 00011100101
bed, freq = 2: (415) 0110011111
whence., freq = 1: (250) 00011111010
principles, freq = 1: (251) 00011111011
discovered, freq = 2: (412) 0110011100
off, freq = 5: (171) 10101011
increasing, freq = 2: (413) 0110011101
how, freq = 4: (222) 11011110
reasonably, freq = 1: (248) 00011111000
middletons, freq = 1: (249) 00011111001
Add, freq = 1: (254) 00011111110
seems, freq = 1: (255) 00011111111
out, freq = 3: (270) 100001110
man, freq = 6: (145) 10010001
plate, freq = 1: (252) 00011111100
court, freq = 2: (402) 0110010010
sense., freq = 1: (253) 00011111101
His, freq = 1: (242) 00011110010
worth, freq = 1: (243) 00011110011
truth, freq = 2: (403) 0110010011
given., freq = 1: (240) 00011110000
All, freq = 1: (241) 00011110001
year, freq = 1: (246) 00011110110
feet, freq = 1: (247) 00011110111
view, freq = 2: (400) 0110010000
went, freq = 2: (401) 0110010001
sake., freq = 1: (244) 00011110100
You, freq = 2: (406) 0110010110
agreeable, freq = 2: (407) 0110010111
breakfast, freq = 3: (271) 100001111
set, freq = 2: (404) 0110010100
perceived, freq = 1: (245) 00011110101
immediate., freq = 1: (202) 00011001010
Stimulated, freq = 1: (203) 00011001011
projectinWorse, freq = 1: (200) 00011001000
downs, freq = 1: (201) 00011001001
nor, freq = 4: (223) 11011111
might, freq = 1: (206) 00011001110
did, freq = 2: (405) 0110010101
nay, freq = 9: (93) 1011101
forth, freq = 2: (490) 111101010
these., freq = 1: (207) 00011001111
Must, freq = 1: (204) 00011001100
you, freq = 6: (150) 10010110
with, freq = 1: (205) 00011001101
from, freq = 1: (194) 00011000010
were, freq = 1: (195) 00011000011
more., freq = 1: (192) 00011000000
should, freq = 1: (193) 00011000001
remark, freq = 2: (491) 111101011
vanity, freq = 2: (488) 111101000
square., freq = 1: (198) 00011000110
Unpleasant, freq = 1: (199) 00011000111
especially, freq = 2: (489) 111101001
assistance, freq = 2: (494) 111101110
sufficient, freq = 2: (495) 111101111
he, freq = 16: (52) 0110100
comparison, freq = 2: (492) 111101100
inquietude., freq = 1: (196) 00011000100
Branch, freq = 1: (197) 00011000101
one, freq = 3: (268) 100001100
shy, freq = 3: (269) 100001101
edward, freq = 1: (218) 00011011010
stairs, freq = 1: (219) 00011011011
turned, freq = 1: (216) 00011011000
law, freq = 2: (493) 111101101
wonder, freq = 2: (482) 111100010
horses., freq = 2: (483) 111100011
Devonshire, freq = 1: (217) 00011011001
invitation, freq = 1: (222) 00011011110
the, freq = 4: (220) 11011100
excellence, freq = 4: (221) 11011101
preference., freq = 1: (223) 00011011111
Objection, freq = 1: (220) 00011011100
estimable, freq = 3: (258) 100000010
discourse, freq = 5: (168) 10101000
procuring, freq = 2: (480) 111100000
remaining, freq = 1: (221) 00011011101
on, freq = 9: (98) 1100010
distrusts., freq = 1: (210) 00011010010
Simplicity, freq = 1: (211) 00011010011
affronting, freq = 1: (208) 00011010000
inquietude, freq = 1: (209) 00011010001
now, freq = 3: (259) 100000011
sympathize, freq = 2: (481) 111100001
age., freq = 1: (214) 00011010110
She, freq = 2: (486) 111100110
meant, freq = 1: (215) 00011010111
new, freq = 2: (487) 111100111
their, freq = 1: (212) 00011010100
sex, freq = 3: (256) 100000000
could, freq = 3: (257) 100000001
defer, freq = 1: (213) 00011010101
child., freq = 1: (42) 00000101010
An, freq = 3: (262) 100000110
lose, freq = 1: (43) 00000101011
at, freq = 12: (62) 0111110
